"id","description","name","section","video_url"
"1","BB deadlift","Martwy ciąg klasyczny","MARTWY CIĄG, LOW","martwy_ciag_klasyczny.mp4"
"2","BB sumo deadlift","Martwy ciąg sumo","MARTWY CIĄG, LOW","martwy_ciag_sumo.mp4"
"3","BB Straight Legs Deadlift","Martwy ciąg na prostych nogach","MARTWY CIĄG, LOW, HINGE, POŚLADKI","martwy_ciag_na_prostych_nogach.mp4"
"4","BB Romanian Deadlift","Martwy ciąg rumuński","MARTWY CIĄG, LOW, HINGE, POŚLADKI","martwy_ciag_rumunski.mp4"
"5","KB deadlift","Martwy ciąg z kettlem","MARTWY CIĄG, LOW, HINGE, KETTLEBELL","martwy_ciag_z_kettlem.mp4"
"6","KB Romanian deadlift","Martwy ciąg rumuński z kettlem","MARTWY CIĄG, LOW, HINGE, KETTLEBELL","martwy_ciag_rumunski_z_kettlem.mp4"
"7","2 DB deadlift","Martwy ciąg z hantlami","MARTWY CIĄG, LOW, HINGE, HANTLE","martwy_ciag_z_hantlami.mp4"
"8","Single Leg Deadlift","Martwy ciąg na jednej nodze","MARTWY CIĄG, JEDNA NOGA, LOW","martwy_ciag_na_jednej_nodze.mp4"
"9","BB SLDL","Martwy ciąg na jednej nodze ze sztangą","MARTWY CIĄG, JEDNA NOGA, LOW, SZTANGA","martwy_ciag_na_jednej_nodze_ze_sztanga.mp4"
"10","KB SLDL","Martwy ciąg na jednej nodze z kettlem","MARTWY CIĄG, JEDNA NOGA, LOW, KETTLEBELL","martwy_ciag_na_jednej_nodze_z_kettlem.mp4"
"11","DB SLDL","Martwy ciąg na jednej nodze z hantlem","MARTWY CIĄG, JEDNA NOGA, LOW, HANTLE","martwy_ciag_na_jednej_nodze_z_hantlem.mp4"
"12","2DB SLDL","Martwy ciąg na jednej nodze z hantlami","MARTWY CIĄG, JEDNA NOGA, LOW, HANTLE","martwy_ciag_na_jednej_nodze_z_hantlami.mp4"
"13","KB swing","Kettlebell swing","MARTWY CIĄG, SWING, LOW","kettlebell_swing.mp4"
"14","KB 1 hand swing","Kettlebell swing jednorącz","MARTWY CIĄG, SWING, LOW","kettlebell_swing_jednoracz.mp4"
"15","Squat","Przysiad","PRZYSIAD, LOW","przysiad.mp4"
"16","Air squat","Przysiad z wyskokiem","PRZYSIAD, LOW","przysiad_z_wyskokiem.mp4"
"17","DB goblet squat","Przysiad z hantlem w chwycie kielichowym","PRZYSIAD, LOW","przysiad_z_hantlem_w_chwycie_kielichowym.mp4"
"18","2 DB squat","Przysiad z hantlami","PRZYSIAD, LOW","przysiad_z_hantlami.mp4"
"19","KB goblet squat","Przysiad z kettlem w chwycie kielichowym","PRZYSIAD, LOW","przysiad_z_kettlem_w_chwycie_kielichowym.mp4"
"20","BB back squat","Przysiad ze sztangą na plecach","PRZYSIAD, LOW","przysiad_ze_sztanga_na_plecach.mp4"
"21","BB front squat","Przysiad ze sztangą z przodu","PRZYSIAD, LOW","przysiad_ze_sztanga_z_przodu.mp4"
"22","BB zercher squat","Przysiad ze sztangą w chwycie zerchera","PRZYSIAD, LOW","przysiad_ze_sztanga_w_chwycie_zerchera.mp4"
"23","Back lunge","Zakrok","PRZYSIAD, LUNGE, LOW","zakrok.mp4"
"24","BB back lunge","Zakrok ze sztangą na plecach","PRZYSIAD, LUNGE, LOW","zakrok_ze_sztanga_na_plecach.mp4"
"25","BB Zercher back lunge","Zakrok ze sztangą w chwycie zerchera","PRZYSIAD, LUNGE, LOW","zakrok_ze_sztanga_w_chwycie_zerchera.mp4"
"26","2DB back lunge","Zakrok z hantlami","PRZYSIAD, LUNGE, LOW","zakrok_z_hantlami.mp4"
"27","Front lunge","Wykrok","PRZYSIAD, LUNGE, LOW","wykrok.mp4"
"28","BB Front lunge","Wykrok ze sztangą na plecach","PRZYSIAD, LUNGE, LOW","wykrok_ze_sztanga_na_plecach.mp4"
"29","BB Zercher front lunge","Wykrok ze sztangą w chwycie zerchera","PRZYSIAD, LUNGE, LOW","wykrok_ze_sztanga_w_chwycie_zerchera.mp4"
"30","2DB front lunge","Wykrok z hantlami","PRZYSIAD, LUNGE, LOW","wykrok_z_hantlami.mp4"
"31","Split squat","Przysiad wykroczny","PRZYSIAD, LUNGE, LOW","przysiad_wykroczny.mp4"
"32","KB Split squat","Przysiad wykroczny z kettlem","PRZYSIAD, LUNGE, LOW","przysiad_wykroczny_z_kettlem.mp4"
"33","2 DB Split squat","Przysiad wykroczny z hantlami","PRZYSIAD, LUNGE, LOW","przysiad_wykroczny_z_hantlami.mp4"
"34","BB Split squat","Przysiad wykroczny ze sztangą na plecach","PRZYSIAD, LUNGE, LOW","przysiad_wykroczny_ze_sztanga_na_plecach.mp4"
"35","BB Zercher split squat","Przysiad wykroczny ze sztangą w chwycie zerchera","PRZYSIAD, LUNGE, LOW","przysiad_wykroczny_ze_sztanga_w_chwycie_zerchera.mp4"
"36","Bulgarian Split squat","Przysiad bułgarski","PRZYSIAD, LUNGE, LOW","przysiad_bulgarski.mp4"
"37","1KB bulgarian split squat","Przysiad bułgarski z kettlem","PRZYSIAD, LUNGE, LOW","przysiad_bulgarski_z_kettlem.mp4"
"38","2DB bulgarian split squat","Przysiad bułgarski z hantlami","PRZYSIAD, LUNGE, LOW","przysiad_bulgarski_z_hantlami.mp4"
"39","Box step","Wejścia na skrzynie","PRZYSIAD, LUNGE, LOW","wejscia_na_skrzynie.mp4"
"40","Plate box squat","Przysiad do skrzyni z talerzem","PRZYSIAD, LUNGE, LOW","przysiad_do_skrzyni_z_talerzem.mp4"
"41","BB box squat","Przysiad do skrzyni ze sztangą","PRZYSIAD, LUNGE, LOW","przysiad_do_skrzyni_ze_sztanga.mp4"
"42","Side lunge","Przysiad boczny","PRZYSIAD, LUNGE, LOW","przysiad_boczny.mp4"
"43","Glute bridge","Mostek biodrowy","MOSTEK, LOW","mostek_biodrowy.mp4"
"44","SLGB","Mostek biodrowy na jednej nodze","MOSTEK, LOW","mostek_biodrowy_na_jednej_nodze.mp4"
"45","DB glute bridge","Mostek biodrowy z hantlem","MOSTEK, LOW","mostek_biodrowy_z_hantlem.mp4"
"46","BB glute bridge","Mostek biodrowy ze sztangą","MOSTEK, LOW","mostek_biodrowy_ze_sztanga.mp4"
"47","GB hamstring march","Marsz w mostku biodrowym","MOSTEK, LOW","marsz_w_mostku_biodrowym.mp4"
"48","Swiss ball leg curl","Uginanie nóg na piłce gimnastycznej","MOSTEK, LOW","uginanie_nog_na_pilce_gimnastycznej.mp4"
"49","Single leg swiss b lc","Uginanie nogi na piłce gimnastyczej","MOSTEK, LOW","uginanie_nogi_na_pilce_gimnastyczej.mp4"
"50","Machine leg curl","Uginanie nóg na maszynie","MOSTEK, LOW","uginanie_nog_na_maszynie.mp4"
"51","Hip trust","Hip trust ","MOSTEK, LOW","hip_trust.mp4"
"52","DB Hip trust","Hip trust z hantlem","MOSTEK, LOW","hip_trust_z_hantlem.mp4"
"53","BB hip trust","Hip trust ze sztangą","MOSTEK, LOW","hip_trust_ze_sztanga.mp4"
"54","Deficit calves rise","Wspięcia na palce","ŁYDKI, LOW","wspiecia_na_palce.mp4"
"55","Single leg calv rise","Wspięcia na palce jednonóż","ŁYDKI, LOW","wspiecia_na_palce_jednonoz.mp4"
"56","DB bench press","Wyciskanie hantli na ławce płaskiej","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_hantli_na_lawce_plaskiej.mp4"
"57","DB bench press rotation","Wyciskanie hantli na ławce płaskiej z rotacją","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_hantli_na_lawce_plaskiej_z_rotacja.mp4"
"58","DB Floor Flyers ","Rozpiętki z hantlami na ziemii","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","rozpietki_z_hantlami_na_ziemii.mp4"
"59","DB floor press","Wyciskanie hantli z ziemii","PUSH HORIZONTAL, HIGH, KLATKA, FLOOR","wyciskanie_hantli_z_ziemii.mp4"
"60","DB floor press thin","Wyciskanie hantli z ziemii wąsko","PUSH HORIZONTAL, HIGH, KLATKA, FLOOR","wyciskanie_hantli_z_ziemii_wasko.mp4"
"61","DB Flyers","Rozpiętki hantlami","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","rozpietki_hantlami.mp4"
"62","DB glute bridge floor press","Wyciskanie hantli w mostku biodrowym","PUSH HORIZONTAL, HIGH, KLATKA, FLOOR","wyciskanie_hantli_w_mostku_biodrowym.mp4"
"63","DB Hex bench press","Wyciskanie złączonych hantli na ławce","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_zlaczonych_hantli_na_lawce.mp4"
"64","DB Hex incline bench press","Wyciskanie złączonych hantli na ławce skośnej","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_zlaczonych_hantli_na_lawce_skosnej.mp4"
"65","DB incline bench press","Wyciskanie hantli na ławce skośnej","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_hantli_na_lawce_skosnej.mp4"
"66","DB incline bench press rotation","Wyciskanie hantli na ławce skośnej z rotacją ","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_hantli_na_lawce_skosnej_z_rotacja.mp4"
"67","DB Incline Flyers","Rozpiętki hantlami na ławce skośnej","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","rozpietki_hantlami_na_lawce_skosnej.mp4"
"68","DB mix bench press","Naprzemienne wyciskanie hantli na ławce","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","naprzemienne_wyciskanie_hantli_na_lawce.mp4"
"69","DB Mix floor press","Naprzemienne wyciskanie hantli z ziemii","PUSH HORIZONTAL, HIGH, KLATKA","naprzemienne_wyciskanie_hantli_z_ziemii.mp4"
"70","DB Pullover","Przenoszenie hantla za głowę","PUSH HORIZONTAL, HIGH, PULLOVER","przenoszenie_hantla_za_glowe.mp4"
"71","Dips","Pompki na poręczach","PUSH HORIZONTAL, HIGH","pompki_na_poreczach.mp4"
"72","KB bench press","Wyciskanie kettli na ławce płaskiej","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_kettli_na_lawce_plaskiej.mp4"
"73","KB floor press","Wyciskanie kettli z ziemii","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_kettli_z_ziemii.mp4"
"74","KB floor press bottom up","Wyciskanie odwróconych kettli z ziemii","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_odwroconych_kettli_z_ziemii.mp4"
"75","KB incline bench press","Wyciskanie kettli na ławce skośnej","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_kettli_na_lawce_skosnej.mp4"
"76","Pallof press","Pallof press","PUSH HORIZONTAL, HIGH, CORE","pallof_press.mp4"
"77","Powerband push up","Pompki z gumą powerband","PUSH HORIZONTAL, HIGH, GUMA","pompki_z_guma_powerband.mp4"
"78","Push Up","Pompka","PUSH HORIZONTAL, HIGH, BW","pompka.mp4"
"79","BB pendlay row","Wiosłowanie Pendlaya","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_pendlaya.mp4"
"80","BB reverse grip row","Wiosłowanie sztangą w podchwycie","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_sztanga_w_podchwycie.mp4"
"81","BB row","Wiosłowanie sztangą w nachwycie","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_sztanga_w_nachwycie.mp4"
"82","Cable facepull","Przyciąganie linek wyciągu do twarzy","PULL HORIZONTAL, HIGH, WYCIĄG","przyciaganie_linek_wyciagu_do_twarzy.mp4"
"83","Cable facepull rotation","Przyciąganie linek wyciągu do twarzy z rotacją","PULL HORIZONTAL, HIGH, WYCIĄG","przyciaganie_linek_wyciagu_do_twarzy_z_rotacja.mp4"
"84","Cable half knee row","Przyciąganie linki wyciągu do klatki w półklęku","PULL HORIZONTAL, HIGH, WYCIĄG","przyciaganie_linki_wyciagu_do_klatki_w_polkleku.mp4"
"85","Cable row","Wiosłowanie na wyciągu nachwytem","PULL HORIZONTAL, HIGH, PLECY, WYCIĄG","wioslowanie_na_wyciagu_nachwytem.mp4"
"86","Cable row neutral grip","Wiosłowanie na wyciągu chwytem neutralnym","PULL HORIZONTAL, HIGH, PLECY, WYCIĄG","wioslowanie_na_wyciagu_chwytem_neutralnym.mp4"
"87","Cable row reverse grip","Wiosłowanie na wyciągu podchwytem","PULL HORIZONTAL, HIGH, PLECY, WYCIĄG","wioslowanie_na_wyciagu_podchwytem.mp4"
"88","DB back flyers","Odwrotne rozpiętki hantlami","PULL HORIZONTAL, HIGH","odwrotne_rozpietki_hantlami.mp4"
"89","DB chest supported back flyers","Odwrotne rozpiętki hantlami na ławce","PULL HORIZONTAL, HIGH","odwrotne_rozpietki_hantlami_na_lawce.mp4"
"90","DB chest supported row","Wiosłowanie hantlami w oparciu o ławkę","PULL HORIZONTAL, HIGH, PLECY, ŁAWKA","wioslowanie_hantlami_w_oparciu_o_lawke.mp4"
"91","DB one hand row","Wiosłowanie hantlem jednorącz ","PULL HORIZONTAL, HIGH, PLECY, ŁAWKA","wioslowanie_hantlem_jednoracz.mp4"
"92","Db row","Wiosłowanie hantlami","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_hantlami.mp4"
"93","Db row rotation","Wiosłowanie hantlami z rotacją","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_hantlami_z_rotacja.mp4"
"94","KB chest supported row ","Wiosłowanie kettlami  w oparciu o ławkę","PULL HORIZONTAL, HIGH, PLECY, ŁAWKA","wioslowanie_kettlami_w_oparciu_o_lawke.mp4"
"95","KB Gorilla row","Goryle wiosłowanie","PULL HORIZONTAL, HIGH, PLECY","goryle_wioslowanie.mp4"
"96","KB one hand row","Wiosłowanie kettlem jednorącz","PULL HORIZONTAL, HIGH, PLECY, ŁAWKA","wioslowanie_kettlem_jednoracz.mp4"
"97","KB row","Wiosłowanie kettlami ","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_kettlami.mp4"
"98","Powerband chest row","Przyciąganie gumy do klatki piersiowej","PULL HORIZONTAL, HIGH, PLECY, GUMA","przyciaganie_gumy_do_klatki_piersiowej.mp4"
"99","Powerband extension","Rozciąganie gumy przed klatką piersiową","PULL HORIZONTAL, HIGH, GUMA","rozciaganie_gumy_przed_klatka_piersiowa.mp4"
"100","Powerband one arm row","Wiosłowanie gumą jednorącz","PULL HORIZONTAL, HIGH, PLECY, GUMA","wioslowanie_guma_jednoracz.mp4"
"101","Powerband row","Wiosłowanie gumą ","PULL HORIZONTAL, HIGH, PLECY,GUMA","wioslowanie_guma.mp4"
"102","Y rise","Wznosy hantli Y","PULL HORIZONTAL, HIGH","wznosy_hantli_Y.mp4"
"103","Y rise Chest supported ","Wznosy hantli Y w oparciu o ławkę","PULL HORIZONTAL, HIGH","wznosy_hantli_Y_w_oparciu_o_lawke.mp4"
"104","Y rise Lying","Wznosy ramion Y w leżeniu","PULL HORIZONTAL, HIGH","wznosy_ramion_Y_w_lezeniu.mp4"
"105","BB Military press","Wyciskanie żołnierskie","PUSH VERTICAL, HIGH, BARKI","wyciskanie_zolnierskie.mp4"
"106","BB OHP Behind neck","Wyciskanie sztangi zza karku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_sztangi_zza_karku.mp4"
"107","BB Push press","Podrzuty sztangą","PUSH VERTICAL, HIGH, DYNAMIKA","podrzuty_sztanga.mp4"
"108","DB Arnold press","Arnoldki hantlami","PUSH VERTICAL, HIGH, BARKI","arnoldki_hantlami.mp4"
"109","DB half kneeling one arm ohp","Wyciskanie hantli nad głowę w półklęku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_w_polkleku.mp4"
"110","DB kneeling ohp","Wyciskanie hantli nad głowę w klęku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_w_kleku.mp4"
"111","DB lateral rise","Wznosy hantli bokiem","PUSH VERTICAL, HIGH, BARKI","wznosy_hantli_bokiem.mp4"
"112","DB OHP","Wyciskanie hantli nad głowę","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe.mp4"
"113","DB OHP neutral grip","Wyciskanie hantli nad głowę chwytem neutralnym","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_chwytem_neutralnym.mp4"
"114","DB sitting Arnold press","Arnoldki hantlami siedząc","PUSH VERTICAL, HIGH, BARKI","arnoldki_hantlami_siedzac.mp4"
"115","DB Sitting ohp","Wyciskanie hantli nad głowę siedząc","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_siedzac.mp4"
"116","DB Sitting ohp rotation","Wyciskanie hantli nad głowę siedząc z rotacją","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_siedzac_z_rotacja.mp4"
"117","KB half kneeling one arm ohp","Wyciskanie kettla nad głowę w półklęku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_kettla_nad_glowe_w_polkleku.mp4"
"118","KB kneeling ohp","Wyciskanie kettli nad głowę w klęku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_kettli_nad_glowe_w_kleku.mp4"
"119","KB mix ohp","Naprzemienne wyciskanie kettli nad głowę","PUSH VERTICAL, HIGH, BARKI","naprzemienne_wyciskanie_kettli_nad_glowe.mp4"
"120","KB mix ohp bottom up","Naprzemienne wyciskanie odwróconych kettli nad głowę ","PUSH VERTICAL, HIGH, BARKI","naprzemienne_wyciskanie_odwroconych_kettli_nad_glowe.mp4"
"121","KB OHP","Wyciskanie kettli nad głowę","PUSH VERTICAL, HIGH, BARKI","wyciskanie_kettli_nad_glowe.mp4"
"122","KB sitting OHP","Wyciskanie kettli nad głowę siedząc","PUSH VERTICAL, HIGH, BARKI","wyciskanie_kettli_nad_glowe_siedzac.mp4"
"123","Powerband lateral rise","Wznosy bokiem z gumą","PUSH VERTICAL, HIGH, BARKI, GUMA","wznosy_bokiem_z_guma.mp4"
"124","Powerband one arm ohp","Wyciskanie gumy nad głowę jednorącz","PUSH VERTICAL, HIGH, BARKI, GUMA","wyciskanie_gumy_nad_glowe_jednoracz.mp4"
"125","Chin up","Podciąganie nadrążku podchwytem","PULL VERTICAL, HIGH, PLECY, DRĄŻEK","podciaganie_nadrazku_podchwytem.mp4"
"126","Kneeling cable lat pulldown","Ściąganie linek wyciągu w klęku","PULL VERTICAL, HIGH, PLECY, WYCIĄG","sciaganie_linek_wyciagu_w_kleku.mp4"
"127","Lat pulldown","Ściąganie drążka wyciągu górnego","PULL VERTICAL, HIGH, PLECY, WYCIĄG","sciaganie_drazka_wyciagu_gornego.mp4"
"128","Lat pulldown neutral grip","Ściąganie drążka wyciągu górnego chwytem neutralnym","PULL VERTICAL, HIGH, PLECY, WYCIĄG","sciaganie_drazka_wyciagu_gornego_chwytem_neutralnym.mp4"
"129","Lat pulldown reverse grip","Sciąganie drążka wyciągu górnego podchwytem","PULL VERTICAL, HIGH, PLECY, WYCIĄG","sciaganie_drazka_wyciagu_gornego_podchwytem.mp4"
"130","Powerband pulldown","Pionowe przyciąganie gumy siedząc","PULL VERTICAL, HIGH, PLECY, GUMA","pionowe_przyciaganie_gumy_siedzac.mp4"
"131","Powerband pulldown single arm","Pionowe przyciąganie gumy siedząc jednorącz","PULL VERTICAL, HIGH, PLECY, GUMA","pionowe_przyciaganie_gumy_siedzac_jednoracz.mp4"
"132","Pull up","Podciąganie na drążku nachwytem","PULL VERTICAL, HIGH, PLECY, DRĄŻEK","podciaganie_na_drazku_nachwytem.mp4"
"133","Pull up neutral grip","Podciąganie na drążku chwytem neutralnym","PULL VERTICAL, HIGH, PLECY, DRĄŻEK","podciaganie_na_drazku_chwytem_neutralnym.mp4"
"134","Barbell bench press","Wyciskanie sztangi na ławce płaskiej","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_sztangi_na_lawce_plaskiej.mp4"
"135","BB incline bench press","Wyciskanie sztangi na ławce skośnej dodatniej","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_sztangi_na_lawce_skosnej_dodatniej.mp4"
"136","Cable crossovers","Krzyżowanie linek wyciągu","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","krzyzowanie_linek_wyciagu.mp4"
"137","Cable flyers","Rozpiętki na wyciągu","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","rozpietki_na_wyciagu.mp4"
"138","Close grip bench press","Wyciskanie sztangi wąsko na ławce płaskiej","PUSH HORIZONTAL, HIGH","wyciskanie_sztangi_wasko_na_lawce_plaskiej.mp4"